id	group	sections	status	artifacts	missing	claim
B1	1. The bound: 13 ≤ N(5) ≤ 23	3.1	established	evidence/rerun1_p23_majority.tar.zst;evidence/anchor2_p23_majority.tar.zst;REPRODUCE.md		**Paley(23) is not 5-inducible**, hence N(5) ≤ 23. Complete over all 8,031 base states of `{1,2,3,6,12}`, of which 2,591 survive the anchor
B2	1. The bound: 13 ≤ N(5) ≤ 23	3.1;B.1	established	certificates/p23cert_d6/VERDICT.txt;certificates/p23cert_d6/p23_cert.portable.txt;sat/certify_d6.py;sat/reroot.py;tools/check_package.sh		Paley(23), **machine-checked** on both halves
B3	1. The bound: 13 ≤ N(5) ≤ 23	C	established	cluster/jz_n12cover/FINAL_ROLLUP.txt;cluster/jz_n12cover/COMMANDS.md;cluster/jz_n12cover/aggregate.sh		**13 ≤ N(5)**: every order-12 tournament is 5-inducible. All 903,753,248 order-11 classes generated, 452,016,608 screened after the converse halving, **0 candidates**
B4	1. The bound: 13 ≤ N(5) ≤ 23	3.4	established	verdicts/p43mv_majority/p43mv_times.txt;verdicts/p43_minus1v_VERDICT.txt;REPRODUCE.md		Paley(43) − v is not 5-inducible, so N(5) ≤ 43 is **re-derived by a second method**
P1	2. The rest of the Paley family	A.3	established	evidence/p27_majority.tar.zst;REPRODUCE.md;tournaments/p27_paley.bits		Paley(27) is not 5-inducible, 8,031 base states, 2,537 live, 6.22 × 10⁹ nodes
P2	2. The rest of the Paley family	3.1	established	evidence/p31_majority.tar.zst;evidence/measurements/p31_result.json;REPRODUCE.md		Paley(31) is not 5-inducible, 21,009 base states, 4,007 live, 3.43 × 10⁹ nodes
P3	2. The rest of the Paley family	3.3	established	verdicts/WITNESSES_margin_hierarchy.md;verify/verify_witness.py		Paley(19) **is** 5-inducible (recovers dim Q₁₉ = 5 of [1])
P4	2. The rest of the Paley family	3.3	established	verdicts/p19_margin1_VERDICT.txt;certificates/p19cert_d6/;REPRODUCE.md;sat/certify_p19_m1.py		Paley(19) is **not** 5-inducible at unit margin, 2,200 base states of `{1,2,3,4,6}`
P5	2. The rest of the Paley family	3.3	established	verdicts/WITNESSES_margin_hierarchy.md		The witnesses are abundant, not delicate: ten workers hit at once from ten base states, support histogram 159 arcs at 3–2 and 12 at 4–1, none unanimous
P6	2. The rest of the Paley family	3.1	established	evidence/n22_p23minusv.tar.zst;verdicts/WITNESSES_paley_minus_vertex.md;REPRODUCE.md		Paley(23) − v **is** 5-inducible, so n = 22 does not improve the bound
