id	n	tmin	margin1	majority	witness_on_disk	sources
t3_000	3	1	SAT	SAT (implied by margin-1)	exact	drt_small/verdicts.tsv
t7_000	7	2	SAT	SAT (implied by margin-1)	exact	drt_small/verdicts.tsv
t11_000	11	3	SAT	SAT (implied by margin-1)	exact	drt_small/verdicts.tsv
t15_000	15	1	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_001	15	1	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_002	15	1	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_003	15	2	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_004	15	2	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_005	15	2	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_006	15	2	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_007	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_008	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_009	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_010	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_011	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_012	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_013	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_014	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_015	15	3	SAT	SAT (implied by margin-1)	exact	vt15/verdicts.tsv
t15_016	15	4	SAT	SAT (implied by margin-1)	exact	drt15/verdicts.tsv
t15_017	15	4	SAT	SAT (implied by margin-1)	exact	drt15/verdicts.tsv
t17_000	17	1	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_001	17	2	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_002	17	2	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_003	17	2	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_004	17	2	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_005	17	2	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_006	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_007	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_008	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_009	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_010	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_011	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_012	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_013	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_014	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t17_015	17	3	SAT	SAT (implied by margin-1)	exact	vt17/verdicts.tsv
t19_000	19	1	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_001	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_002	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_003	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_004	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_005	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_006	19	2	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_007	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_008	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_009	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_010	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_011	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_012	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_013	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_014	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_015	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_016	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_017	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_018	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_019	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_020	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_021	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_022	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_023	19	3	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_024	19	4	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_025	19	4	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_026	19	4	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_027	19	4	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_028	19	4	SAT	SAT (implied by margin-1)	exact	vt19/verdicts.tsv
t19_029	19	5	UNSAT	SAT	exact+majority	sweep_queue.log (aggregate only);vt19/verdicts.tsv
t19_030	19	5	UNSAT	SAT	exact+majority	drt19/verdicts.tsv;drt19_wit/verdicts.tsv
t21_000	21	1	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_001	21	1	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_002	21	1	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_003	21	1	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_004	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_005	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_006	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_007	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_008	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_009	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_010	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_011	21	2	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_012	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_013	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_014	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_015	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_016	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_017	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_018	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_019	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_020	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_021	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_022	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_023	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_024	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_025	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_026	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_027	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_028	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_029	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_030	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_031	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_032	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_033	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_034	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_035	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_036	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_037	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_038	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_039	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_040	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_041	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_042	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_043	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_044	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_045	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_046	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_047	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_048	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_049	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_050	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_051	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_052	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_053	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_054	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_055	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_056	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_057	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_058	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_059	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_060	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_061	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_062	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
t21_063	21	3	SAT	SAT (implied by margin-1)	exact	vt21_recover/verdicts.tsv
